Cow;days;milk_fit_conc;milk_real_conc;fat_fit_conc;fat_real_conc;protein_fit_conc;protein_real_conc;fit_price;real_price
67388;186;30,88756355;44,78919116;4,419281904;4,659053272;3,4722644;3,662852746;10,09657908;15,68845741
67388;187;30,83653914;44,71520208;4,4213097;4,661191088;3,474521889;3,665234145;10,0873294;15,67390275
67388;188;30,78566817;44,64143552;4,423345592;4,663337439;3,47677404;3,667609914;10,0781055;15,65938872
67388;189;30,73495119;44,56789224;4,425389495;4,665492235;3,479020857;3,669980056;10,06890754;15,6449156
67388;190;30,68438869;44,49457297;4,427441326;4,667655389;3,481262342;3,672344574;10,05973569;15,63048364
67388;191;30,63398113;44,42147839;4,429501001;4,669826814;3,483498501;3,674703473;10,05059012;15,6160931
67388;192;30,58372899;44,34860916;4,431568442;4,672006425;3,485729336;3,677056756;10,04147099;15,60174422
67388;193;30,53363267;44,2759659;4,433643569;4,67419414;3,487954853;3,679404429;10,03237844;15,58743725
67388;194;30,4836926;44,20354919;4,435726304;4,676389875;3,490175056;3,681746496;10,02331265;15,57317242
67388;195;30,43390914;44,1313596;4,437816572;4,678593552;3,492389951;3,684082964;10,01427375;15,55894997
67388;196;30,38428268;44,05939766;4,439914297;4,68080509;3,494599543;3,686413837;10,00526189;15,54477013
67388;197;30,33481354;43,98766385;4,442019406;4,683024414;3,496803838;3,688739123;9,996277208;15,53063311
67388;198;30,28550206;43,91615865;4,444131827;4,685251446;3,499002842;3,691058828;9,987319854;15,51653913
67388;199;30,23634854;43,8448825;4,44625149;4,687486112;3,501196562;3,693372959;9,978389959;15,5024884
67388;200;30,18735326;43,77383581;4,448378324;4,689728339;3,503385005;3,695681523;9,969487657;15,48848113
67388;201;30,13851649;43,70301898;4,450512261;4,691978055;3,505568177;3,697984527;9,960613076;15,47451751
67388;202;30,08983847;43,63243235;4,452653235;4,694235189;3,507746087;3,700281979;9,951766345;15,46059775
67388;203;30,04131945;43,56207628;4,454801178;4,696499671;3,509918741;3,702573887;9,942947586;15,44672203
67388;204;29,99295963;43,49195106;4,456956028;4,698771433;3,512086147;3,70486026;9,934156922;15,43289055
67388;205;29,94475922;43,42205699;4,459117718;4,701050408;3,514248314;3,707141106;9,925394471;15,41910348
